operator_count,score,generation,,,
1,0.48699656,18,,,
2,0.565014853,18,,,
1,0.793578018,18,,,
4,0.520878674,18,,,
4,0.938708568,18,,,
1,0.599918699,18,,,
4,0.938708568,18,,,
1,0.582507036,18,,,
2,0.917546904,18,,,
3,0.495185272,18,,,
4,0.724624765,18,,,
2,0.870000782,18,,,
1,0.510005472,18,,,
1,0.826372733,18,,,
4,0.506289087,18,,,
2,0.676375078,18,,,
2,0.852407755,18,,,
5,0.938708568,18,,,
1,0.51431207,18,,,
1,0.552933083,18,,,
4,0.653717949,18,,,
3,0.872601626,18,,,
1,0.844896811,18,,,
3,0.860952158,18,,,
3,0.88529237,18,,,
3,0.893542058,18,,,
2,0.749050969,18,,,
2,0.751296123,18,,,
2,0.917546904,18,,,
2,0.839308943,18,,,
4,0.600546435,18,,,
4,0.64170419,18,,,
2,0.785684803,18,,,
1,0.60601626,18,,,
4,0.938708568,18,,,
4,0.860077392,18,,,
3,0.861159318,19,,,
1,0.763961069,19,,,
2,0.747075516,19,,,
1,0.477217011,19,,,
2,0.537847092,19,,,
1,0.571006879,19,,,
1,0.830282989,19,,,
4,0.876292214,19,,,
4,0.914016573,19,,,
2,0.713753127,19,,,
1,0.635153221,19,,,
4,0.876979362,19,,,
5,0.509593496,19,,,
2,0.553889931,19,,,
4,0.902415572,19,,,
4,0.911359443,19,,,
6,0.524781113,19,,,
2,0.485182145,19,,,
4,0.613139462,19,,,
1,0.646151501,19,,,
2,0.664780331,19,,,
5,0.924862414,19,,,
2,0.547574265,19,,,
3,0.898607724,19,,,
1,0.528467011,19,,,
4,0.919987492,19,,,
3,0.938708568,19,,,
4,0.87805738,19,,,
1,0.724107255,19,,,
4,0.88869606,19,,,
1,0.533309881,19,,,
3,0.660283771,19,,,
1,0.875286116,19,,, 
2,0.676136648,19,,,
4,0.793956379,19,,,
1,0.825186836,19,,,
6,0.916208568,19,,,
3,0.512253752,19,,,
3,0.872636804,19,,,
2,0.484716229,19,,,
